epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.915,1.78619,3.10488,1.68342,0.15953,0.28702,0.22213,0.09343,2.167,3.30884,1.96645,0.00032963,0.00032963,0.00032963
2,211.428,1.68348,2.05077,1.62262,0.27755,0.44974,0.32543,0.138,2.03173,2.57762,1.83633,0.000652024,0.000652024,0.000652024
3,272.394,1.65517,1.91289,1.58865,0.60111,0.30039,0.31046,0.13663,1.99482,2.68324,2.08177,0.000963419,0.000963419,0.000963419
4,333.159,1.65093,1.86966,1.59098,0.24094,0.62511,0.32187,0.1289,1.9132,2.83885,1.93714,0.0009505,0.0009505,0.0009505
5,394.2,1.60071,1.7765,1.55211,0.41105,0.42144,0.37154,0.16863,2.03605,2.27865,1.86363,0.000934,0.000934,0.000934
6,454.932,1.57229,1.72962,1.52931,0.74086,0.48217,0.60094,0.26867,1.7514,1.85599,1.70096,0.0009175,0.0009175,0.0009175
7,516.049,1.54471,1.69537,1.52388,0.54234,0.54673,0.5546,0.24572,1.83991,2.07029,1.73741,0.000901,0.000901,0.000901
8,577.259,1.51786,1.61769,1.48849,0.59713,0.49214,0.50095,0.21821,1.89092,2.33802,1.81364,0.0008845,0.0008845,0.0008845
9,638.476,1.50571,1.60414,1.48787,0.66188,0.48384,0.55477,0.2451,1.80646,1.99279,1.72549,0.000868,0.000868,0.000868
10,700.166,1.52919,1.57545,1.4882,0.51795,0.58992,0.58262,0.2663,1.80106,1.73265,1.72469,0.0008515,0.0008515,0.0008515
11,761.941,1.47598,1.53625,1.45831,0.44594,0.62394,0.55906,0.25714,1.79488,1.96232,1.70699,0.000835,0.000835,0.000835
12,823.468,1.48722,1.57043,1.48242,0.69521,0.54974,0.61395,0.28313,1.77143,1.74813,1.72299,0.0008185,0.0008185,0.0008185
13,886.307,1.4759,1.53262,1.47106,0.47396,0.5855,0.51116,0.22601,1.86885,1.92522,1.73267,0.000802,0.000802,0.000802
14,948.023,1.47109,1.50304,1.45859,0.46645,0.56821,0.54109,0.25425,1.84273,1.7932,1.71297,0.0007855,0.0007855,0.0007855
15,1009.62,1.45229,1.4536,1.43828,0.57278,0.57092,0.60296,0.27078,1.81341,1.73016,1.71701,0.000769,0.000769,0.000769
16,1071.32,1.42096,1.4566,1.43745,0.66937,0.48718,0.58165,0.28284,1.71034,1.69842,1.66943,0.0007525,0.0007525,0.0007525
17,1133.33,1.42902,1.43755,1.44071,0.53347,0.57801,0.59548,0.28223,1.74523,1.71982,1.68269,0.000736,0.000736,0.000736
18,1195.15,1.44014,1.44911,1.44826,0.64958,0.53345,0.61311,0.28479,1.75963,1.64027,1.70477,0.0007195,0.0007195,0.0007195
19,1256.81,1.4302,1.43751,1.43906,0.49438,0.64346,0.5862,0.2815,1.72663,1.67539,1.64194,0.000703,0.000703,0.000703
20,1318.75,1.39871,1.41997,1.42107,0.43331,0.60669,0.49667,0.25022,1.68004,1.93707,1.62066,0.0006865,0.0006865,0.0006865
21,1380.52,1.41736,1.40879,1.42534,0.51749,0.66628,0.63386,0.29999,1.74471,1.56105,1.67821,0.00067,0.00067,0.00067
22,1442.35,1.38391,1.37352,1.41035,0.48841,0.60574,0.55855,0.27383,1.65981,1.69789,1.6027,0.0006535,0.0006535,0.0006535
23,1504.14,1.36974,1.33811,1.39772,0.51913,0.67025,0.6517,0.32563,1.59397,1.59047,1.55927,0.000637,0.000637,0.000637
24,1566.08,1.40818,1.38275,1.41932,0.54488,0.66737,0.6836,0.31928,1.64256,1.5293,1.61427,0.0006205,0.0006205,0.0006205
25,1627.95,1.36447,1.34626,1.40247,0.7025,0.5196,0.58849,0.29038,1.69105,1.65277,1.61247,0.000604,0.000604,0.000604
26,1689.95,1.38837,1.36589,1.42449,0.56182,0.59452,0.6289,0.30717,1.66765,1.58044,1.65999,0.0005875,0.0005875,0.0005875
27,1752.07,1.34155,1.32301,1.38395,0.56767,0.66052,0.65656,0.32244,1.62116,1.49726,1.56687,0.000571,0.000571,0.000571
28,1813.96,1.36172,1.32541,1.40266,0.64908,0.6136,0.67775,0.33836,1.62776,1.53772,1.5627,0.0005545,0.0005545,0.0005545
29,1876.08,1.34667,1.30656,1.38856,0.56193,0.68625,0.66378,0.32622,1.59409,1.49539,1.55556,0.000538,0.000538,0.000538
30,1937.92,1.34637,1.30998,1.38868,0.57257,0.67283,0.66966,0.34055,1.59393,1.49256,1.5365,0.0005215,0.0005215,0.0005215
31,1999.88,1.34915,1.26601,1.38104,0.60965,0.69515,0.69491,0.34013,1.60886,1.47319,1.5387,0.000505,0.000505,0.000505
32,2061.76,1.35218,1.28488,1.38766,0.51822,0.68405,0.65031,0.33006,1.63175,1.4723,1.54071,0.0004885,0.0004885,0.0004885
33,2123.86,1.33321,1.27816,1.38029,0.73193,0.54666,0.69692,0.34902,1.59658,1.43433,1.55135,0.000472,0.000472,0.000472
34,2186.24,1.3418,1.25985,1.37567,0.62217,0.60682,0.64214,0.31675,1.65596,1.51057,1.61922,0.0004555,0.0004555,0.0004555
35,2248.3,1.31319,1.24813,1.35673,0.56634,0.67646,0.665,0.34483,1.58351,1.44605,1.56705,0.000439,0.000439,0.000439
36,2310.66,1.32742,1.23171,1.35923,0.55001,0.67228,0.64843,0.3181,1.68152,1.47774,1.6267,0.0004225,0.0004225,0.0004225
37,2372.49,1.32326,1.24166,1.37197,0.64158,0.64313,0.68986,0.34309,1.60631,1.43964,1.59005,0.000406,0.000406,0.000406
38,2434.12,1.30285,1.22824,1.35721,0.6052,0.66236,0.69372,0.34763,1.58922,1.41518,1.57938,0.0003895,0.0003895,0.0003895
39,2496.06,1.31179,1.22053,1.36785,0.60081,0.68584,0.70507,0.36563,1.57083,1.40077,1.52449,0.000373,0.000373,0.000373
40,2557.91,1.32052,1.2286,1.36848,0.57839,0.69051,0.68496,0.35753,1.58252,1.4059,1.51433,0.0003565,0.0003565,0.0003565
41,2619.71,1.2941,1.18659,1.34245,0.66763,0.61016,0.68032,0.35648,1.5938,1.44088,1.53722,0.00034,0.00034,0.00034
42,2681.79,1.28724,1.16606,1.33881,0.56548,0.68856,0.69071,0.3552,1.58201,1.42351,1.52323,0.0003235,0.0003235,0.0003235
43,2744.21,1.26411,1.16648,1.32146,0.60059,0.69918,0.69016,0.36918,1.54662,1.39726,1.50169,0.000307,0.000307,0.000307
44,2806.44,1.28386,1.16197,1.3378,0.61051,0.70849,0.73367,0.37068,1.58112,1.35941,1.52411,0.0002905,0.0002905,0.0002905
45,2868.57,1.28572,1.17543,1.35103,0.60626,0.659,0.68468,0.36157,1.55117,1.40282,1.50933,0.000274,0.000274,0.000274
46,2930.93,1.2813,1.16976,1.34025,0.6146,0.68943,0.70295,0.3702,1.56763,1.38175,1.51803,0.0002575,0.0002575,0.0002575
47,2993.14,1.24887,1.13461,1.31813,0.60946,0.6632,0.68318,0.3632,1.58691,1.37745,1.52937,0.000241,0.000241,0.000241
